scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,95043.36786027365,1.1573568751807852,95041.49954311753,95044.84164823037,0.0,33.21013580506562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.598350763320923
LMP + toll,95039.78192399595,1.0597465901025633,95038.06435576109,95041.15410458227,0.0,28.745299359048076,3.2507727236976454,4.800000000000001,0.0,0.0,0.0,0.0,0.0,10.19043755531311
LMP + BESS Houston,95041.78135530232,1.1197957391922333,95039.97968650241,95043.21866121022,1.8173694569173464,32.346263793117444,0.0,0.0,1.2677464401830363,3.0,52789.7244751,13475.477865179999,35091.06868894,13.150429725646973
LMP + BESS West,95042.05587004017,1.1046853765387141,95040.27061797332,95043.4737428877,2.004579134031039,32.24022098700454,0.0,0.0,1.2864841855364322,3.0,55393.94996651798,14095.3790036,36867.05500384,13.042140007019043
LMP + BESS both,95040.46936506886,1.0671743594210694,95038.74669148482,95041.85075586755,4.199126596791003,31.753526980898986,0.0,0.0,2.5542306257194682,6.0,108183.674441618,21459.838944860003,78069.14161670001,17.699448823928833
LMP + toll + BESS Houston,95038.19541902462,1.0246250924963112,95036.54449914595,95039.53111756212,2.3786147292231785,28.4426726194057,3.2507727236976454,4.800000000000001,1.2677464401830343,3.0,52789.72447509997,7137.185269979924,41429.36128414002,13.721723556518555
LMP + toll + BESS West,95038.4699337625,1.006808018807085,95036.83503547958,95039.78619923959,2.012870209468361,27.783675616424325,3.2507727236976454,4.800000000000001,1.2864841855364322,3.0,55393.94996651798,13998.165699100004,36964.268308340004,14.099587440490723
LMP + toll + BESS both,95036.8834287912,0.9718641381122889,95035.3095370753,95038.16321221946,4.663746745556748,27.753310683647154,3.2507727236976454,4.800000000000001,2.5542306257194665,6.0,108183.67444161797,16185.343539979924,83343.63702158,18.408849954605103
